DATA;ESTADO;CASOS NOVOS;CASOS TOTAIS;ÓBITOS NOVOS;ÓBITOS TOTAIS;;;;
27/06/2022;AC;0;0;0;0;;;;
27/06/2022;AL;0;0;0;0;;;;
27/06/2022;AP;0;0;0;0;;;;
27/06/2022;AM;0;0;0;0;;;;
27/06/2022;BA;0;0;0;0;;;;
27/06/2022;CE;0;0;0;0;;;;
27/06/2022;DF;0;0;0;0;;;;
27/06/2022;ES;0;0;0;0;;;;
27/06/2022;GO;0;0;0;0;;;;
27/06/2022;MA;0;0;0;0;;;;
27/06/2022;MT;0;0;0;0;;;;
27/06/2022;MS;0;0;0;0;;;;
27/06/2022;MG;0;0;0;0;;;;
27/06/2022;PA;0;0;0;0;;;;
27/06/2022;PB;0;0;0;0;;;;
27/06/2022;PR;0;0;0;0;;;;
27/06/2022;PE;0;0;0;0;;;;
27/06/2022;PI;0;0;0;0;;;;
27/06/2022;RJ;4;4;0;0;;;;
27/06/2022;RN;0;0;0;0;;;;
27/06/2022;RS;2;2;0;0;;;;
27/06/2022;RO;0;0;0;0;;;;
27/06/2022;RR;0;0;0;0;;;;
27/06/2022;SC;0;0;0;0;;;;
27/06/2022;SP;14;14;0;0;;;;
27/06/2022;SE;0;0;0;0;;;;
27/06/2022;TO;0;0;0;0;;;;
28/06/2022;AC;0;0;0;0;;;;
28/06/2022;AL;0;0;0;0;;;;
28/06/2022;AP;0;0;0;0;;;;
28/06/2022;AM;0;0;0;0;;;;
28/06/2022;BA;0;0;0;0;;;;
28/06/2022;CE;0;0;0;0;;;;
28/06/2022;DF;0;0;0;0;;;;
28/06/2022;ES;0;0;0;0;;;;
28/06/2022;GO;0;0;0;0;;;;
28/06/2022;MA;0;0;0;0;;;;
28/06/2022;MT;0;0;0;0;;;;
28/06/2022;MS;0;0;0;0;;;;
28/06/2022;MG;0;0;0;0;;;;
28/06/2022;PA;0;0;0;0;;;;
28/06/2022;PB;0;0;0;0;;;;
28/06/2022;PR;0;0;0;0;;;;
28/06/2022;PE;0;0;0;0;;;;
28/06/2022;PI;0;0;0;0;;;;
28/06/2022;RJ;1;5;0;0;;;;
28/06/2022;RN;0;0;0;0;;;;
28/06/2022;RS;0;2;0;0;;;;
28/06/2022;RO;0;0;0;0;;;;
28/06/2022;RR;0;0;0;0;;;;
28/06/2022;SC;0;0;0;0;;;;
28/06/2022;SP;0;14;0;0;;;;
28/06/2022;SE;0;0;0;0;;;;
28/06/2022;TO;0;0;0;0;;;;
29/06/2022;AC;0;0;0;0;;;;
29/06/2022;AL;0;0;0;0;;;;
29/06/2022;AP;0;0;0;0;;;;
29/06/2022;AM;0;0;0;0;;;;
29/06/2022;BA;0;0;0;0;;;;
29/06/2022;CE;0;0;0;0;;;;
29/06/2022;DF;0;0;0;0;;;;
29/06/2022;ES;0;0;0;0;;;;
29/06/2022;GO;0;0;0;0;;;;
29/06/2022;MA;0;0;0;0;;;;
29/06/2022;MT;0;0;0;0;;;;
29/06/2022;MS;0;0;0;0;;;;
29/06/2022;MG;1;1;0;0;;;;
29/06/2022;PA;0;0;0;0;;;;
29/06/2022;PB;0;0;0;0;;;;
29/06/2022;PR;0;0;0;0;;;;
29/06/2022;PE;0;0;0;0;;;;
29/06/2022;PI;0;0;0;0;;;;
29/06/2022;RJ;0;5;0;0;;;;
29/06/2022;RN;0;0;0;0;;;;
29/06/2022;RS;0;2;0;0;;;;
29/06/2022;RO;0;0;0;0;;;;
29/06/2022;RR;0;0;0;0;;;;
29/06/2022;SC;0;0;0;0;;;;
29/06/2022;SP;14;28;0;0;;;;
29/06/2022;SE;0;0;0;0;;;;
29/06/2022;TO;0;0;0;0;;;;
30/06/2022;AC;0;0;0;0;;;;
30/06/2022;AL;0;0;0;0;;;;
30/06/2022;AP;0;0;0;0;;;;
30/06/2022;AM;0;0;0;0;;;;
30/06/2022;BA;0;0;0;0;;;;
30/06/2022;CE;1;1;0;0;;;;
30/06/2022;DF;0;0;0;0;;;;
30/06/2022;ES;0;0;0;0;;;;
30/06/2022;GO;0;0;0;0;;;;
30/06/2022;MA;0;0;0;0;;;;
30/06/2022;MT;0;0;0;0;;;;
30/06/2022;MS;0;0;0;0;;;;
30/06/2022;MG;0;1;0;0;;;;
30/06/2022;PA;0;0;0;0;;;;
30/06/2022;PB;0;0;0;0;;;;
30/06/2022;PR;0;0;0;0;;;;
30/06/2022;PE;0;0;0;0;;;;
30/06/2022;PI;0;0;0;0;;;;
30/06/2022;RJ;3;8;0;0;;;;
30/06/2022;RN;0;0;0;0;;;;
30/06/2022;RS;0;2;0;0;;;;
30/06/2022;RO;0;0;0;0;;;;
30/06/2022;RR;0;0;0;0;;;;
30/06/2022;SC;0;0;0;0;;;;
30/06/2022;SP;8;36;0;0;;;;
30/06/2022;SE;0;0;0;0;;;;
30/06/2022;TO;0;0;0;0;;;;
01/07/2022;AC;0;0;0;0;;;;
01/07/2022;AL;0;0;0;0;;;;
01/07/2022;AP;0;0;0;0;;;;
01/07/2022;AM;0;0;0;0;;;;
01/07/2022;BA;0;0;0;0;;;;
01/07/2022;CE;0;1;0;0;;;;
01/07/2022;DF;0;0;0;0;;;;
01/07/2022;ES;0;0;0;0;;;;
01/07/2022;GO;0;0;0;0;;;;
01/07/2022;MA;0;0;0;0;;;;
01/07/2022;MT;0;0;0;0;;;;
01/07/2022;MS;0;0;0;0;;;;
01/07/2022;MG;0;1;0;0;;;;
01/07/2022;PA;0;0;0;0;;;;
01/07/2022;PB;0;0;0;0;;;;
01/07/2022;PR;0;0;0;0;;;;
01/07/2022;PE;0;0;0;0;;;;
01/07/2022;PI;0;0;0;0;;;;
01/07/2022;RJ;5;13;0;0;;;;
01/07/2022;RN;1;1;0;0;;;;
01/07/2022;RS;0;2;0;0;;;;
01/07/2022;RO;0;0;0;0;;;;
01/07/2022;RR;0;0;0;0;;;;
01/07/2022;SC;0;0;0;0;;;;
01/07/2022;SP;9;45;0;0;;;;
01/07/2022;SE;0;0;0;0;;;;
01/07/2022;TO;0;0;0;0;;;;
02/07/2022;AC;0;0;0;0;;;;
02/07/2022;AL;0;0;0;0;;;;
02/07/2022;AP;0;0;0;0;;;;
02/07/2022;AM;0;0;0;0;;;;
02/07/2022;BA;0;0;0;0;;;;
02/07/2022;CE;1;2;0;0;;;;
02/07/2022;DF;1;1;0;0;;;;
02/07/2022;ES;0;0;0;0;;;;
02/07/2022;GO;0;0;0;0;;;;
02/07/2022;MA;0;0;0;0;;;;
02/07/2022;MT;0;0;0;0;;;;
02/07/2022;MS;0;0;0;0;;;;
02/07/2022;MG;1;2;0;0;;;;
02/07/2022;PA;0;0;0;0;;;;
02/07/2022;PB;0;0;0;0;;;;
02/07/2022;PR;0;0;0;0;;;;
02/07/2022;PE;0;0;0;0;;;;
02/07/2022;PI;0;0;0;0;;;;
02/07/2022;RJ;3;16;0;0;;;;
02/07/2022;RN;0;1;0;0;;;;
02/07/2022;RS;0;2;0;0;;;;
02/07/2022;RO;0;0;0;0;;;;
02/07/2022;RR;0;0;0;0;;;;
02/07/2022;SC;0;0;0;0;;;;
02/07/2022;SP;7;52;0;0;;;;
02/07/2022;SE;0;0;0;0;;;;
02/07/2022;TO;0;0;0;0;;;;
03/07/2022;AC;0;0;0;0;;;;
03/07/2022;AL;0;0;0;0;;;;
03/07/2022;AP;0;0;0;0;;;;
03/07/2022;AM;0;0;0;0;;;;
03/07/2022;BA;0;0;0;0;;;;
03/07/2022;CE;0;2;0;0;;;;
03/07/2022;DF;0;1;0;0;;;;
03/07/2022;ES;0;0;0;0;;;;
03/07/2022;GO;0;0;0;0;;;;
03/07/2022;MA;0;0;0;0;;;;
03/07/2022;MT;0;0;0;0;;;;
03/07/2022;MS;0;0;0;0;;;;
03/07/2022;MG;1;3;0;0;;;;
03/07/2022;PA;0;0;0;0;;;;
03/07/2022;PB;0;0;0;0;;;;
03/07/2022;PR;1;1;0;0;;;;
03/07/2022;PE;0;0;0;0;;;;
03/07/2022;PI;0;0;0;0;;;;
03/07/2022;RJ;0;16;0;0;;;;
03/07/2022;RN;0;1;0;0;;;;
03/07/2022;RS;0;2;0;0;;;;
03/07/2022;RO;0;0;0;0;;;;
03/07/2022;RR;0;0;0;0;;;;
03/07/2022;SC;0;0;0;0;;;;
03/07/2022;SP;0;52;0;0;;;;
03/07/2022;SE;0;0;0;0;;;;
03/07/2022;TO;0;0;0;0;;;;
04/07/2022;AC;0;0;0;0;;;;
04/07/2022;AL;0;0;0;0;;;;
04/07/2022;AP;0;0;0;0;;;;
04/07/2022;AM;0;0;0;0;;;;
04/07/2022;BA;0;0;0;0;;;;
04/07/2022;CE;0;2;0;0;;;;
04/07/2022;DF;0;1;0;0;;;;
04/07/2022;ES;0;0;0;0;;;;
04/07/2022;GO;0;0;0;0;;;;
04/07/2022;MA;0;0;0;0;;;;
04/07/2022;MT;0;0;0;0;;;;
04/07/2022;MS;0;0;0;0;;;;
04/07/2022;MG;0;3;0;0;;;;
04/07/2022;PA;0;0;0;0;;;;
04/07/2022;PB;0;0;0;0;;;;
04/07/2022;PR;0;1;0;0;;;;
04/07/2022;PE;0;0;0;0;;;;
04/07/2022;PI;0;0;0;0;;;;
04/07/2022;RJ;2;18;0;0;;;;
04/07/2022;RN;0;1;0;0;;;;
04/07/2022;RS;0;2;0;0;;;;
04/07/2022;RO;0;0;0;0;;;;
04/07/2022;RR;0;0;0;0;;;;
04/07/2022;SC;0;0;0;0;;;;
04/07/2022;SP;0;52;0;0;;;;
04/07/2022;SE;0;0;0;0;;;;
04/07/2022;TO;0;0;0;0;;;;
05/07/2022;AC;0;0;0;0;;;;
05/07/2022;AL;0;0;0;0;;;;
05/07/2022;AP;0;0;0;0;;;;
05/07/2022;AM;0;0;0;0;;;;
05/07/2022;BA;0;0;0;0;;;;
05/07/2022;CE;0;2;0;0;;;;
05/07/2022;DF;0;1;0;0;;;;
05/07/2022;ES;0;0;0;0;;;;
05/07/2022;GO;0;0;0;0;;;;
05/07/2022;MA;0;0;0;0;;;;
05/07/2022;MT;0;0;0;0;;;;
05/07/2022;MS;0;0;0;0;;;;
05/07/2022;MG;0;3;0;0;;;;
05/07/2022;PA;0;0;0;0;;;;
05/07/2022;PB;0;0;0;0;;;;
05/07/2022;PR;1;2;0;0;;;;
05/07/2022;PE;0;0;0;0;;;;
05/07/2022;PI;0;0;0;0;;;;
05/07/2022;RJ;2;20;0;0;;;;
05/07/2022;RN;0;1;0;0;;;;
05/07/2022;RS;0;2;0;0;;;;
05/07/2022;RO;0;0;0;0;;;;
05/07/2022;RR;0;0;0;0;;;;
05/07/2022;SC;0;0;0;0;;;;
05/07/2022;SP;23;75;0;0;;;;
05/07/2022;SE;0;0;0;0;;;;
05/07/2022;TO;0;0;0;0;;;;
06/07/2022;AC;0;0;0;0;;;;
06/07/2022;AL;0;0;0;0;;;;
06/07/2022;AP;0;0;0;0;;;;
06/07/2022;AM;0;0;0;0;;;;
06/07/2022;BA;0;0;0;0;;;;
06/07/2022;CE;0;2;0;0;;;;
06/07/2022;DF;0;1;0;0;;;;
06/07/2022;ES;0;0;0;0;;;;
06/07/2022;GO;0;0;0;0;;;;
06/07/2022;MA;0;0;0;0;;;;
06/07/2022;MT;0;0;0;0;;;;
06/07/2022;MS;0;0;0;0;;;;
06/07/2022;MG;5;8;0;0;;;;
06/07/2022;PA;0;0;0;0;;;;
06/07/2022;PB;0;0;0;0;;;;
06/07/2022;PR;0;2;0;0;;;;
06/07/2022;PE;0;0;0;0;;;;
06/07/2022;PI;0;0;0;0;;;;
06/07/2022;RJ;8;28;0;0;;;;
06/07/2022;RN;0;1;0;0;;;;
06/07/2022;RS;0;2;0;0;;;;
06/07/2022;RO;0;0;0;0;;;;
06/07/2022;RR;0;0;0;0;;;;
06/07/2022;SC;0;0;0;0;;;;
06/07/2022;SP;23;98;0;0;;;;
06/07/2022;SE;0;0;0;0;;;;
06/07/2022;TO;0;0;0;0;;;;
07/07/2022;AC;0;0;0;0;;;;
07/07/2022;AL;0;0;0;0;;;;
07/07/2022;AP;0;0;0;0;;;;
07/07/2022;AM;0;0;0;0;;;;
07/07/2022;BA;0;0;0;0;;;;
07/07/2022;CE;0;2;0;0;;;;
07/07/2022;DF;0;1;0;0;;;;
07/07/2022;ES;0;0;0;0;;;;
07/07/2022;GO;0;0;0;0;;;;
07/07/2022;MA;0;0;0;0;;;;
07/07/2022;MT;0;0;0;0;;;;
07/07/2022;MS;0;0;0;0;;;;
07/07/2022;MG;4;12;0;0;;;;
07/07/2022;PA;0;0;0;0;;;;
07/07/2022;PB;0;0;0;0;;;;
07/07/2022;PR;1;3;0;0;;;;
07/07/2022;PE;0;0;0;0;;;;
07/07/2022;PI;0;0;0;0;;;;
07/07/2022;RJ;2;30;0;0;;;;
07/07/2022;RN;0;1;0;0;;;;
07/07/2022;RS;0;2;0;0;;;;
07/07/2022;RO;0;0;0;0;;;;
07/07/2022;RR;0;0;0;0;;;;
07/07/2022;SC;1;1;0;0;;;;
07/07/2022;SP;23;121;0;0;;;;
07/07/2022;SE;0;0;0;0;;;;
07/07/2022;TO;0;0;0;0;;;;
08/07/2022;AC;0;0;0;0;;;;
08/07/2022;AL;0;0;0;0;;;;
08/07/2022;AP;0;0;0;0;;;;
08/07/2022;AM;0;0;0;0;;;;
08/07/2022;BA;0;0;0;0;;;;
08/07/2022;CE;0;2;0;0;;;;
08/07/2022;DF;0;1;0;0;;;;
08/07/2022;ES;1;1;0;0;;;;
08/07/2022;GO;2;2;0;0;;;;
08/07/2022;MA;0;0;0;0;;;;
08/07/2022;MT;0;0;0;0;;;;
08/07/2022;MS;0;0;0;0;;;;
08/07/2022;MG;2;14;0;0;;;;
08/07/2022;PA;0;0;0;0;;;;
08/07/2022;PB;0;0;0;0;;;;
08/07/2022;PR;0;3;0;0;;;;
08/07/2022;PE;0;0;0;0;;;;
08/07/2022;PI;0;0;0;0;;;;
08/07/2022;RJ;3;33;0;0;;;;
08/07/2022;RN;0;1;0;0;;;;
08/07/2022;RS;1;3;0;0;;;;
08/07/2022;RO;0;0;0;0;;;;
08/07/2022;RR;0;0;0;0;;;;
08/07/2022;SC;0;1;0;0;;;;
08/07/2022;SP;24;145;0;0;;;;
08/07/2022;SE;0;0;0;0;;;;
08/07/2022;TO;0;0;0;0;;;;
09/07/2022;AC;0;0;0;0;;;;
09/07/2022;AL;0;0;0;0;;;;
09/07/2022;AP;0;0;0;0;;;;
09/07/2022;AM;0;0;0;0;;;;
09/07/2022;BA;0;0;0;0;;;;
09/07/2022;CE;0;2;0;0;;;;
09/07/2022;DF;0;1;0;0;;;;
09/07/2022;ES;0;1;0;0;;;;
09/07/2022;GO;0;2;0;0;;;;
09/07/2022;MA;0;0;0;0;;;;
09/07/2022;MT;0;0;0;0;;;;
09/07/2022;MS;0;0;0;0;;;;
09/07/2022;MG;0;14;0;0;;;;
09/07/2022;PA;0;0;0;0;;;;
09/07/2022;PB;0;0;0;0;;;;
09/07/2022;PR;0;3;0;0;;;;
09/07/2022;PE;0;0;0;0;;;;
09/07/2022;PI;0;0;0;0;;;;
09/07/2022;RJ;0;33;0;0;;;;
09/07/2022;RN;0;1;0;0;;;;
09/07/2022;RS;0;3;0;0;;;;
09/07/2022;RO;0;0;0;0;;;;
09/07/2022;RR;0;0;0;0;;;;
09/07/2022;SC;0;1;0;0;;;;
09/07/2022;SP;0;145;0;0;;;;
09/07/2022;SE;0;0;0;0;;;;
09/07/2022;TO;0;0;0;0;;;;
10/07/2022;AC;0;0;0;0;;;;
10/07/2022;AL;0;0;0;0;;;;
10/07/2022;AP;0;0;0;0;;;;
10/07/2022;AM;0;0;0;0;;;;
10/07/2022;BA;0;0;0;0;;;;
10/07/2022;CE;0;2;0;0;;;;
10/07/2022;DF;0;1;0;0;;;;
10/07/2022;ES;0;1;0;0;;;;
10/07/2022;GO;0;2;0;0;;;;
10/07/2022;MA;0;0;0;0;;;;
10/07/2022;MT;0;0;0;0;;;;
10/07/2022;MS;0;0;0;0;;;;
10/07/2022;MG;0;14;0;0;;;;
10/07/2022;PA;0;0;0;0;;;;
10/07/2022;PB;0;0;0;0;;;;
10/07/2022;PR;0;3;0;0;;;;
10/07/2022;PE;0;0;0;0;;;;
10/07/2022;PI;0;0;0;0;;;;
10/07/2022;RJ;0;33;0;0;;;;
10/07/2022;RN;0;1;0;0;;;;
10/07/2022;RS;0;3;0;0;;;;
10/07/2022;RO;0;0;0;0;;;;
10/07/2022;RR;0;0;0;0;;;;
10/07/2022;SC;0;1;0;0;;;;
10/07/2022;SP;0;145;0;0;;;;
10/07/2022;SE;0;0;0;0;;;;
10/07/2022;TO;0;0;0;0;;;;
11/07/2022;AC;0;0;0;0;;;;
11/07/2022;AL;0;0;0;0;;;;
11/07/2022;AP;0;0;0;0;;;;
11/07/2022;AM;0;0;0;0;;;;
11/07/2022;BA;0;0;0;0;;;;
11/07/2022;CE;0;2;0;0;;;;
11/07/2022;DF;0;1;0;0;;;;
11/07/2022;ES;0;1;0;0;;;;
11/07/2022;GO;0;2;0;0;;;;
11/07/2022;MA;0;0;0;0;;;;
11/07/2022;MT;0;0;0;0;;;;
11/07/2022;MS;0;0;0;0;;;;
11/07/2022;MG;0;14;0;0;;;;
11/07/2022;PA;0;0;0;0;;;;
11/07/2022;PB;0;0;0;0;;;;
11/07/2022;PR;0;3;0;0;;;;
11/07/2022;PE;0;0;0;0;;;;
11/07/2022;PI;0;0;0;0;;;;
11/07/2022;RJ;0;33;0;0;;;;
11/07/2022;RN;0;1;0;0;;;;
11/07/2022;RS;0;3;0;0;;;;
11/07/2022;RO;0;0;0;0;;;;
11/07/2022;RR;0;0;0;0;;;;
11/07/2022;SC;0;1;0;0;;;;
11/07/2022;SP;0;145;0;0;;;;
11/07/2022;SE;0;0;0;0;;;;
11/07/2022;TO;0;0;0;0;;;;
12/07/2022;AC;0;0;0;0;;;;
12/07/2022;AL;0;0;0;0;;;;
12/07/2022;AP;0;0;0;0;;;;
12/07/2022;AM;0;0;0;0;;;;
12/07/2022;BA;0;0;0;0;;;;
12/07/2022;CE;0;2;0;0;;;;
12/07/2022;DF;0;1;0;0;;;;
12/07/2022;ES;0;1;0;0;;;;
12/07/2022;GO;0;2;0;0;;;;
12/07/2022;MA;0;0;0;0;;;;
12/07/2022;MT;0;0;0;0;;;;
12/07/2022;MS;0;0;0;0;;;;
12/07/2022;MG;0;14;0;0;;;;
12/07/2022;PA;0;0;0;0;;;;
12/07/2022;PB;0;0;0;0;;;;
12/07/2022;PR;0;3;0;0;;;;
12/07/2022;PE;0;0;0;0;;;;
12/07/2022;PI;0;0;0;0;;;;
12/07/2022;RJ;0;33;0;0;;;;
12/07/2022;RN;0;1;0;0;;;;
12/07/2022;RS;0;3;0;0;;;;
12/07/2022;RO;0;0;0;0;;;;
12/07/2022;RR;0;0;0;0;;;;
12/07/2022;SC;0;1;0;0;;;;
12/07/2022;SP;0;145;0;0;;;;
12/07/2022;SE;0;0;0;0;;;;
12/07/2022;TO;0;0;0;0;;;;
13/07/2022;AC;0;0;0;0;;;;
13/07/2022;AL;0;0;0;0;;;;
13/07/2022;AP;0;0;0;0;;;;
13/07/2022;AM;0;0;0;0;;;;
13/07/2022;BA;0;0;0;0;;;;
13/07/2022;CE;0;2;0;0;;;;
13/07/2022;DF;0;1;0;0;;;;
13/07/2022;ES;0;1;0;0;;;;
13/07/2022;GO;0;2;0;0;;;;
13/07/2022;MA;0;0;0;0;;;;
13/07/2022;MT;0;0;0;0;;;;
13/07/2022;MS;0;0;0;0;;;;
13/07/2022;MG;0;14;0;0;;;;
13/07/2022;PA;0;0;0;0;;;;
13/07/2022;PB;0;0;0;0;;;;
13/07/2022;PR;0;3;0;0;;;;
13/07/2022;PE;0;0;0;0;;;;
13/07/2022;PI;0;0;0;0;;;;
13/07/2022;RJ;0;33;0;0;;;;
13/07/2022;RN;0;1;0;0;;;;
13/07/2022;RS;0;3;0;0;;;;
13/07/2022;RO;0;0;0;0;;;;
13/07/2022;RR;0;0;0;0;;;;
13/07/2022;SC;0;1;0;0;;;;
13/07/2022;SP;0;145;0;0;;;;
13/07/2022;SE;0;0;0;0;;;;
13/07/2022;TO;0;0;0;0;;;;
14/07/2022;AC;0;0;0;0;;;;
14/07/2022;AL;0;0;0;0;;;;
14/07/2022;AP;0;0;0;0;;;;
14/07/2022;AM;0;0;0;0;;;;
14/07/2022;BA;2;2;0;0;;;;
14/07/2022;CE;1;3;0;0;;;;
14/07/2022;DF;3;4;0;0;;;;
14/07/2022;ES;0;1;0;0;;;;
14/07/2022;GO;2;4;0;0;;;;
14/07/2022;MA;0;0;0;0;;;;
14/07/2022;MT;0;0;0;0;;;;
14/07/2022;MS;0;0;0;0;;;;
14/07/2022;MG;8;22;0;0;;;;
14/07/2022;PA;0;0;0;0;;;;
14/07/2022;PB;0;0;0;0;;;;
14/07/2022;PR;3;6;0;0;;;;
14/07/2022;PE;1;1;0;0;;;;
14/07/2022;PI;0;0;0;0;;;;
14/07/2022;RJ;12;45;0;0;;;;
14/07/2022;RN;2;3;0;0;;;;
14/07/2022;RS;0;3;0;0;;;;
14/07/2022;RO;0;0;0;0;;;;
14/07/2022;RR;0;0;0;0;;;;
14/07/2022;SC;0;1;0;0;;;;
14/07/2022;SP;72;217;0;0;;;;
14/07/2022;SE;0;0;0;0;;;;
14/07/2022;TO;0;0;0;0;;;;
15/07/2022;AC;0;0;0;0;;;;
15/07/2022;AL;0;0;0;0;;;;
15/07/2022;AP;0;0;0;0;;;;
15/07/2022;AM;0;0;0;0;;;;
15/07/2022;BA;0;2;0;0;;;;
15/07/2022;CE;0;3;0;0;;;;
15/07/2022;DF;0;4;0;0;;;;
15/07/2022;ES;0;1;0;0;;;;
15/07/2022;GO;0;4;0;0;;;;
15/07/2022;MA;0;0;0;0;;;;
15/07/2022;MT;0;0;0;0;;;;
15/07/2022;MS;0;0;0;0;;;;
15/07/2022;MG;0;22;0;0;;;;
15/07/2022;PA;0;0;0;0;;;;
15/07/2022;PB;0;0;0;0;;;;
15/07/2022;PR;0;6;0;0;;;;
15/07/2022;PE;0;1;0;0;;;;
15/07/2022;PI;0;0;0;0;;;;
15/07/2022;RJ;0;45;0;0;;;;
15/07/2022;RN;0;3;0;0;;;;
15/07/2022;RS;0;3;0;0;;;;
15/07/2022;RO;0;0;0;0;;;;
15/07/2022;RR;0;0;0;0;;;;
15/07/2022;SC;0;1;0;0;;;;
15/07/2022;SP;0;217;0;0;;;;
15/07/2022;SE;0;0;0;0;;;;
15/07/2022;TO;0;0;0;0;;;;
16/07/2022;AC;0;0;0;0;;;;
16/07/2022;AL;0;0;0;0;;;;
16/07/2022;AP;0;0;0;0;;;;
